job_id,value_head,seed,policy_score,normal_width20_score,narrow_score_lower_bound,total,narrow_minus_policy_lower_bound,narrow_minus_normal_lower_bound,classified,unclassified,val_valid,val_invalid,elapsed,slurm_state,source_training_job_id,checkpoint_epoch,source_evaluation_log,status
20620548,off,1963100312,17,23,22,59,5,-1,44,15,22,0,2-02:23:14,OUT_OF_MEMORY,20401258,101,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage1_mcts_eval/20620548_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,terminal_partial_val_confirmed_lower_bound
20620549,off,2011206605,19,22,21,59,2,-1,59,0,21,0,16:26:25,COMPLETED,20401259,37,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage1_mcts_eval/20620549_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401259_e0037.txt,terminal_val_confirmed
20620550,off,1073581256,59,34,59,59,0,25,59,0,59,0,03:34:21,COMPLETED,20401260,3,/home/hersco/training_new_domains/2026-08-27/counters_stage1_narrow_mcts/20620550_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401260_e0003.txt,terminal_val_confirmed
20620551,off,1239739722,17,17,17,59,0,0,59,0,17,0,11:09:16,COMPLETED,20401261,5,/home/hersco/training_new_domains/2026-08-27/counters_stage1_narrow_mcts/20620551_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401261_e0005.txt,terminal_val_confirmed
20620559,on,2011206605,7,12,14,59,7,2,59,0,14,0,23:08:32,COMPLETED,20401269,9,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage1_mcts_eval/20620559_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401269_e0009.txt,terminal_val_confirmed
20620561,on,1239739722,8,14,16,59,8,2,59,0,16,0,1-12:02:12,COMPLETED,20401271,80,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage1_mcts_eval/20620561_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401271_e0080.txt,terminal_val_confirmed
20620563,on,534933607,59,30,59,59,0,29,59,0,59,0,04:49:00,COMPLETED,20401273,11,/home/hersco/training_new_domains/2026-08-27/counters_stage1_narrow_mcts/20620563_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401273_e0011.txt,terminal_val_confirmed
20620564,on,2082152039,9,12,14,59,5,2,59,0,14,0,1-09:57:15,COMPLETED,20401274,97,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage1_mcts_eval/20620564_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20401274_e0097.txt,terminal_val_confirmed
20620562,on,1472491096,20,22,26,59,6,4,53,6,26,0,1-09:06:34,OUT_OF_MEMORY,20401272,18,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage1_mcts_eval/20620562_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401272_e0018.txt,terminal_partial_val_confirmed_lower_bound
20620552,off,1472491096,38,32,38,59,0,6,,,38,0,1-16:26:11,OUT_OF_MEMORY,20401262,20,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage1_mcts_eval/20620552_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20401262_e0020.txt,terminal_partial_val_confirmed_lower_bound
20620555,off,1510771779,10,17,17,59,7,0,,,17,0,2-01:19:16,OUT_OF_MEMORY,20401265,1,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage1_mcts_eval/20620555_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20401265_e0001.txt,terminal_partial_val_confirmed_lower_bound
