authoritative_result_file,scope,row_level_log_columns_or_companion,provenance_status
experiment_tracking/experiment_results.csv,MAIN-VAL and MAIN-TERM policy/MCTS endpoints,"source_training_log;source_evaluation_log;source_validation_log;alternate_valid_log_paths",complete_inline
experiment_tracking/policy_endpoint_results.csv,mainstream policy endpoints,experiment_tracking/experiment_results.csv,complete_companion
experiment_tracking/stage1_mcts_results.csv,Stage1 MCTS seed results,"source_log;completion_ledger;validation_log",complete_inline
experiment_tracking/stage1_policy_mcts_cutoff_summary.csv,Stage1 aggregate policy/MCTS cutoffs,"experiment_tracking/policy_mcts_instance_audit.csv;experiment_tracking/stage1_mcts_results.csv",complete_companion
experiment_tracking/stage1_policy_mcts_preferred_search_summary_20260902.csv,Stage1 preferred-search policy/MCTS aggregate,row_level_companion,complete_inline_companion
experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv,all 200 Stage2 endpoint identities,"policy_log;candidate_mcts_logs",complete_inline_including_explicit_absence
experiment_tracking/stage2_mcts_branch_coverage_20260902.csv,20-cell Stage2 MCTS availability,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv,complete_companion
experiment_tracking/stage2_policy_mcts_comparison_by_branch_20260902.csv,available Stage2 policy/MCTS aggregates,"experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv;experiment_tracking/main_val_stage2_drone_mcts_terminal_20260831.csv;experiment_tracking/rover_stage2_terminal_mcts_20260901.csv;experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_terminal_results.csv",complete_companion
experiment_tracking/four_domain_preservation/stable_domain_stage2_summary_20260902.csv,PRESERVE-4 completed aggregate,"heldout_evidence;tuning_evaluation_logs;training_provenance",complete_inline_or_companion
experiment_tracking/tpp_stage2_vh_off_regression_audit_20260902.csv,TPP severe held-out regression,"stage1_eval_log;stage2_training_log;stage2_eval_log",complete_inline
experiment_tracking/mcts_counters_width_sensitivity/stage1_narrow_regression_audit_20260902.csv,Counters severe Stage1 regressions,"completion_ledger plus jobs mapped through stage1_narrow_terminal_results.csv",complete_companion
experiment_tracking/mcts_counters_width_sensitivity/stage1_narrow_terminal_results.csv,Counters Stage1 narrow results,source_evaluation_log,complete_inline
experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_terminal_results.csv,Counters Stage2 narrow results,"source_log;completion_ledger;validation_log",complete_inline
experiment_tracking/mcts_progressive_widening_cross_domain/comparative_summary_20260901_2304.csv,PW20/PW70 screen aggregate,"pw70_followup_submissions.tsv;terminal_results_20260901.csv;results.csv;matched_fixed_terminal_comparators.csv",complete_companion
experiment_tracking/mcts_progressive_widening_cross_domain/counters_stage1_divergence_recovery_manifest.csv,held PW recovery design,"source_training_log;source_policy_log;source_narrow_log",complete_inline_design
experiment_tracking/mcts_horizon_pilot/results.csv,Drone Horizon cutoff-only,external evaluation_log;validation_log,complete_inline
experiment_tracking/mcts_determinism_audit/results.csv,determinism first audit,source_log,complete_inline
experiment_tracking/mcts_determinism_audit/followup_results.csv,determinism Horizon replay,source_log,complete_inline
experiment_tracking/mcts_safe_context/live_reconciliation_20260831.csv,SAFE-CONTEXT matched runs,source_log,complete_inline
